idx,created_at,tree_dbh,curb_loc,health,steward,guards,sidewalk,user_type,problems,spc_common,spc_latin,nta,nta_name,borocode,boro_ct,boroname,zip_city,cb_num,st_senate,st_assem,cncldist,health_is_0,health_is_1,health_is_2
863,2016-08-31,8,OnCurb,2,,,NoDamage,Volunteer,StonesBranchLights,London planetree,Platanus x acerifolia,QN17,Forest Hills,4,4076901,Queens,Forest Hills,406,15,28,29,0,0,1
864,2016-07-12,8,OnCurb,1,,,NoDamage,Volunteer,,mulberry,Morus,BK41,Kensington-Ocean Parkway,3,3049000,Brooklyn,Brooklyn,312,17,44,40,0,1,0
865,2015-09-14,6,OnCurb,0,3or4,,NoDamage,NYC Parks Staff,,Sophora,Styphnolobium japonicum,BX49,Pelham Parkway,2,2024800,Bronx,Bronx,211,34,80,13,1,0,0
866,2015-10-26,29,OnCurb,1,,,NoDamage,Volunteer,Stones,London planetree,Platanus x acerifolia,BX34,Melrose South-Mott Haven North,2,2007500,Bronx,Bronx,201,32,79,17,0,1,0
867,2016-08-01,2,OnCurb,1,,,NoDamage,TreesCount Staff,,honeylocust,Gleditsia triacanthos var. inermis,BK63,Crown Heights South,3,3032300,Brooklyn,Brooklyn,309,20,57,35,0,1,0
868,2016-08-13,5,OnCurb,1,3or4,Helpful,NoDamage,Volunteer,Stones,white oak,Quercus alba,BK82,East New York,3,3117000,Brooklyn,Brooklyn,305,18,54,37,0,1,0
869,2015-06-28,4,OnCurb,1,,,NoDamage,TreesCount Staff,,cherry,Prunus,BK37,Park Slope-Gowanus,3,3017700,Brooklyn,Brooklyn,306,21,44,39,0,1,0
870,2015-11-29,6,OnCurb,1,,,NoDamage,Volunteer,,cherry,Prunus,SI25,Oakwood-Oakwood Beach,5,5012806,Staten Island,Staten Island,503,24,64,50,0,1,0
871,2015-08-07,6,OnCurb,1,3or4,,Damage,Volunteer,,bald cypress,Taxodium distichum,QN26,North Corona,4,4040700,Queens,Corona,403,13,35,21,0,1,0
872,2015-10-13,22,OnCurb,1,,,Damage,Volunteer,Stones,Norway maple,Acer platanoides,QN55,South Ozone Park,4,4010200,Queens,South Ozone Park,410,10,31,28,0,1,0
873,2015-09-22,11,OnCurb,1,,,Damage,NYC Parks Staff,StonesBranchOther,English oak,Quercus robur,QN70,Astoria,4,4004500,Queens,Astoria,401,12,37,26,0,1,0
874,2015-06-18,3,OffsetFromCurb,1,,,NoDamage,NYC Parks Staff,,cherry,Prunus,BX36,University Heights-Morris Heights,2,2021502,Bronx,Bronx,205,29,77,14,0,1,0
875,2016-07-14,3,OnCurb,1,1or2,,Damage,Volunteer,,green ash,Fraxinus pennsylvanica,SI07,Westerleigh,5,5020100,Staten Island,Staten Island,501,23,61,49,0,1,0
876,2015-11-16,16,OnCurb,1,,,NoDamage,TreesCount Staff,,Callery pear,Pyrus calleryana,QN06,Jamaica Estates-Holliswood,4,4047200,Queens,Jamaica,408,11,24,24,0,1,0
877,2015-07-12,9,OnCurb,2,,,NoDamage,TreesCount Staff,,American linden,Tilia americana,MN40,Upper East Side-Carnegie Hill,1,1015001,Manhattan,New York,108,28,73,4,0,0,1
878,2015-10-04,11,OnCurb,1,,Harmful,Damage,Volunteer,BranchOther,silver linden,Tilia tomentosa,BK85,East New York (Pennsylvania Ave),3,3112600,Brooklyn,Brooklyn,305,19,60,42,0,1,0
879,2015-10-21,4,OnCurb,1,,,NoDamage,TreesCount Staff,,cherry,Prunus,SI11,Charleston-Richmond Valley-Tottenville,5,5022600,Staten Island,Staten Island,503,24,62,51,0,1,0
880,2015-12-24,5,OnCurb,1,,,NoDamage,NYC Parks Staff,Stones,Persian ironwood,Parrotia persica,QN34,Queens Village,4,4051200,Queens,Queens Village,413,14,33,27,0,1,0
881,2015-11-04,2,OnCurb,1,1or2,Helpful,NoDamage,Volunteer,,Callery pear,Pyrus calleryana,QN33,Cambria Heights,4,4061400,Queens,Cambria Heights,413,14,33,27,0,1,0
882,2015-08-17,5,OnCurb,1,,,NoDamage,NYC Parks Staff,,cherry,Prunus,MN04,Hamilton Heights,1,1022500,Manhattan,New York,109,31,70,7,0,1,0
883,2015-09-02,3,OnCurb,1,,Helpful,Damage,TreesCount Staff,Stones,green ash,Fraxinus pennsylvanica,SI05,New Springville-Bloomfield-Travis,5,5027301,Staten Island,Staten Island,502,24,63,50,0,1,0
884,2015-10-06,4,OnCurb,0,1or2,Unsure,Damage,Volunteer,BranchLights,Sophora,Styphnolobium japonicum,MN04,Hamilton Heights,1,1023300,Manhattan,New York,109,30,71,7,1,0,0
885,2015-10-15,5,OnCurb,0,1or2,,NoDamage,NYC Parks Staff,,littleleaf linden,Tilia cordata,BX27,Hunts Point,2,2009300,Bronx,Bronx,202,34,84,17,1,0,0
886,2015-10-21,30,OnCurb,1,,,NoDamage,Volunteer,,London planetree,Platanus x acerifolia,QN08,St. Albans,4,4052400,Queens,Saint Albans,412,14,33,27,0,1,0
887,2015-08-21,14,OnCurb,1,1or2,Helpful,Damage,NYC Parks Staff,WiresRope,honeylocust,Gleditsia triacanthos var. inermis,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3,3070201,Brooklyn,Brooklyn,318,19,59,46,0,1,0
888,2016-06-07,5,OnCurb,1,1or2,,NoDamage,TreesCount Staff,,northern red oak,Quercus rubra,QN51,Murray Hill,4,4115100,Queens,Flushing,407,11,40,19,0,1,0
889,2015-11-17,20,OnCurb,0,,,Damage,TreesCount Staff,,pin oak,Quercus palustris,QN49,Whitestone,4,4094500,Queens,Whitestone,407,11,26,19,1,0,0
890,2015-11-06,7,OnCurb,1,,,NoDamage,TreesCount Staff,,cherry,Prunus,SI32,Rossville-Woodrow,5,5020804,Staten Island,Staten Island,503,24,62,51,0,1,0
891,2015-08-26,7,OnCurb,1,,,Damage,TreesCount Staff,StonesRootOther,sweetgum,Liquidambar styraciflua,BK69,Clinton Hill,3,3023500,Brooklyn,Brooklyn,303,25,57,33,0,1,0
892,2015-09-06,6,OnCurb,1,,,Damage,TreesCount Staff,,pin oak,Quercus palustris,MN28,Lower East Side,1,1002800,Manhattan,New York,103,27,74,2,0,1,0
893,2015-10-15,5,OnCurb,1,,,NoDamage,Volunteer,StonesBranchLights,green ash,Fraxinus pennsylvanica,BK37,Park Slope-Gowanus,3,3016700,Brooklyn,Brooklyn,306,21,44,39,0,1,0
894,2015-10-05,19,OnCurb,1,,,Damage,Volunteer,,London planetree,Platanus x acerifolia,SI54,Great Kills,5,5013203,Staten Island,Staten Island,503,24,64,51,0,1,0
895,2015-10-12,20,OnCurb,1,,,Damage,NYC Parks Staff,,cherry,Prunus,BK31,Bay Ridge,3,3004600,Brooklyn,Brooklyn,310,22,46,43,0,1,0
896,2015-09-24,23,OffsetFromCurb,1,,,NoDamage,NYC Parks Staff,Stones,pin oak,Quercus palustris,BX46,Parkchester,2,2021602,Bronx,Bronx,209,32,87,18,0,1,0
897,2016-03-13,9,OnCurb,0,,,Damage,Volunteer,,littleleaf linden,Tilia cordata,BX59,Westchester-Unionport,2,2020400,Bronx,Bronx,210,32,87,18,1,0,0
898,2015-11-16,8,OnCurb,1,,,NoDamage,Volunteer,,littleleaf linden,Tilia cordata,QN34,Queens Village,4,4054000,Queens,Queens Village,413,14,33,27,0,1,0
899,2015-09-10,6,OnCurb,1,1or2,Helpful,NoDamage,Volunteer,,littleleaf linden,Tilia cordata,MN03,Central Harlem North-Polo Grounds,1,1022102,Manhattan,New York,110,30,70,9,0,1,0
900,2015-09-14,13,OffsetFromCurb,0,,Helpful,NoDamage,Volunteer,StonesBranchLights,ginkgo,Ginkgo biloba,SI14,Grasmere-Arrochar-Ft. Wadsworth,5,5002002,Staten Island,Staten Island,502,23,64,50,1,0,0
901,2015-08-05,6,OnCurb,1,1or2,,NoDamage,TreesCount Staff,StonesTrunkLightsBranchLights,silver linden,Tilia tomentosa,BK83,Cypress Hills-City Line,3,3117601,Brooklyn,Brooklyn,305,18,54,37,0,1,0
902,2015-10-15,8,OnCurb,1,,,NoDamage,NYC Parks Staff,,London planetree,Platanus x acerifolia,QN21,Middle Village,4,4050700,Queens,Middle Village,405,15,30,30,0,1,0
903,2015-08-22,4,OnCurb,1,1or2,Helpful,NoDamage,TreesCount Staff,,serviceberry,Amelanchier,QN72,Steinway,4,4012301,Queens,Astoria,401,13,36,22,0,1,0
904,2016-06-01,15,OnCurb,1,,Helpful,Damage,Volunteer,StonesTrunkOther,honeylocust,Gleditsia triacanthos var. inermis,BK40,Windsor Terrace,3,3017100,Brooklyn,Brooklyn,307,21,44,39,0,1,0
905,2016-04-29,17,OnCurb,1,,,Damage,Volunteer,,pin oak,Quercus palustris,BK93,Starrett City,3,3105804,Brooklyn,Brooklyn,305,19,60,42,0,1,0
906,2015-12-08,18,OnCurb,1,,,Damage,TreesCount Staff,TrunkOtherBranchOther,littleleaf linden,Tilia cordata,BX52,Schuylerville-Throgs Neck-Edgewater Park,2,2016000,Bronx,Bronx,210,34,82,13,0,1,0
907,2015-10-01,7,OnCurb,2,3or4,Helpful,NoDamage,Volunteer,BranchOther,Amur maple,Acer ginnala,QN21,Middle Village,4,4065900,Queens,Middle Village,405,15,28,30,0,0,1
908,2015-07-28,11,OnCurb,1,1or2,Helpful,NoDamage,Volunteer,Stones,ginkgo,Ginkgo biloba,MN12,Upper West Side,1,1019100,Manhattan,New York,107,31,69,6,0,1,0
909,2015-09-22,4,OnCurb,0,,Helpful,NoDamage,TreesCount Staff,,Sophora,Styphnolobium japonicum,BX10,Pelham Bay-Country Club-City Island,2,2051600,Bronx,Bronx,210,34,82,13,1,0,0
910,2015-09-06,16,OnCurb,1,,Unsure,Damage,TreesCount Staff,,red maple,Acer rubrum,BK88,Borough Park,3,3021800,Brooklyn,Brooklyn,312,17,48,44,0,1,0
911,2015-11-02,4,OnCurb,1,,,NoDamage,NYC Parks Staff,,Japanese zelkova,Zelkova serrata,QN20,Ridgewood,4,4058500,Queens,Ridgewood,405,15,37,30,0,1,0
912,2015-07-07,4,OnCurb,1,,,NoDamage,TreesCount Staff,,pin oak,Quercus palustris,BK76,Greenpoint,3,3057500,Brooklyn,Brooklyn,301,18,50,33,0,1,0
913,2015-09-05,6,OnCurb,2,,,Damage,Volunteer,BranchLights,English oak,Quercus robur,BK31,Bay Ridge,3,3004400,Brooklyn,Brooklyn,310,22,64,43,0,0,1
914,2015-10-05,6,OnCurb,1,,,NoDamage,TreesCount Staff,,London planetree,Platanus x acerifolia,BK25,Homecrest,3,3041401,Brooklyn,Brooklyn,315,22,45,47,0,1,0
915,2016-08-17,25,OnCurb,0,,,NoDamage,Volunteer,BranchLights,London planetree,Platanus x acerifolia,MN12,Upper West Side,1,1018700,Manhattan,New York,107,31,69,6,1,0,0
916,2015-10-22,14,OnCurb,1,,,Damage,NYC Parks Staff,Stones,pin oak,Quercus palustris,BK95,Erasmus,3,3082600,Brooklyn,Brooklyn,317,21,42,45,0,1,0
917,2016-08-01,7,OffsetFromCurb,1,,,NoDamage,NYC Parks Staff,,honeylocust,Gleditsia triacanthos var. inermis,SI48,Arden Heights,5,5017010,Staten Island,Staten Island,503,24,63,51,0,1,0
918,2016-08-19,25,OnCurb,1,,,Damage,Volunteer,Stones,London planetree,Platanus x acerifolia,BX31,Allerton-Pelham Gardens,2,2031400,Bronx,Bronx,211,34,80,13,0,1,0
919,2015-12-11,18,OnCurb,1,,,NoDamage,Volunteer,BranchLights,London planetree,Platanus x acerifolia,QN46,Bayside-Bayside Hills,4,4144700,Queens,Bayside,411,11,25,19,0,1,0
920,2015-10-16,10,OnCurb,0,,,Damage,TreesCount Staff,,London planetree,Platanus x acerifolia,BX55,Soundview-Bruckner,2,2005200,Bronx,Bronx,209,32,85,17,1,0,0
921,2015-10-22,15,OnCurb,1,,,Damage,Volunteer,BranchLights,pin oak,Quercus palustris,BK63,Crown Heights South,3,3031900,Brooklyn,Brooklyn,309,20,43,35,0,1,0
922,2015-10-10,24,OnCurb,1,,,NoDamage,TreesCount Staff,Stones,crimson king maple,Acer platanoides 'Crimson King',QN20,Ridgewood,4,4058300,Queens,Ridgewood,405,15,37,30,0,1,0
923,2016-08-31,29,OnCurb,1,,,NoDamage,NYC Parks Staff,,London planetree,Platanus x acerifolia,SI07,Westerleigh,5,5015100,Staten Island,Staten Island,501,24,61,49,0,1,0
924,2016-09-09,6,OnCurb,1,,Unsure,NoDamage,Volunteer,,littleleaf linden,Tilia cordata,QN49,Whitestone,4,4103900,Queens,Whitestone,407,11,26,19,0,1,0
925,2016-08-31,8,OnCurb,0,,,NoDamage,Volunteer,,northern red oak,Quercus rubra,QN43,Bellerose,4,4157101,Queens,Bellerose,413,11,33,23,1,0,0
926,2016-09-06,16,OnCurb,1,,,Damage,TreesCount Staff,,green ash,Fraxinus pennsylvanica,MN04,Hamilton Heights,1,1022700,Manhattan,New York,109,30,70,9,0,1,0
927,2015-11-01,17,OnCurb,1,3or4,,NoDamage,Volunteer,,cherry,Prunus,QN05,Rosedale,4,4065400,Queens,Rosedale,413,10,31,31,0,1,0
928,2015-07-22,5,OffsetFromCurb,1,,,NoDamage,TreesCount Staff,StonesBranchLights,pin oak,Quercus palustris,BK32,Sunset Park West,3,3010100,Brooklyn,Brooklyn,307,20,51,38,0,1,0
929,2015-11-13,3,OnCurb,1,1or2,,NoDamage,Volunteer,,Sophora,Styphnolobium japonicum,QN54,Richmond Hill,4,4012200,Queens,Richmond Hill,409,10,24,29,0,1,0
930,2015-07-11,9,OnCurb,1,,,NoDamage,Volunteer,,London planetree,Platanus x acerifolia,BK33,Carroll Gardens-Columbia Street-Red Hook,3,3006500,Brooklyn,Brooklyn,306,25,52,39,0,1,0
931,2016-09-08,24,OnCurb,1,,,Damage,TreesCount Staff,Stones,maple,Acer,BK37,Park Slope-Gowanus,3,3016700,Brooklyn,Brooklyn,306,21,44,39,0,1,0
932,2015-06-24,7,OnCurb,1,,,NoDamage,TreesCount Staff,,cherry,Prunus,BK42,Flatbush,3,3077400,Brooklyn,Brooklyn,314,21,42,45,0,1,0
933,2015-07-24,7,OnCurb,1,,,NoDamage,NYC Parks Staff,,Callery pear,Pyrus calleryana,SI11,Charleston-Richmond Valley-Tottenville,5,5022600,Staten Island,Staten Island,503,24,62,51,0,1,0
934,2015-08-22,6,OnCurb,0,,,NoDamage,NYC Parks Staff,BranchLights,pin oak,Quercus palustris,SI36,Old Town-Dongan Hills-South Beach,5,5007000,Staten Island,Staten Island,502,23,64,50,1,0,0
935,2016-08-03,31,OnCurb,1,,,Damage,TreesCount Staff,BranchOther,silver linden,Tilia tomentosa,SI08,Grymes Hill-Clifton-Fox Hills,5,5003300,Staten Island,Staten Island,501,23,61,49,0,1,0
936,2015-09-26,5,OnCurb,1,1or2,,Damage,Volunteer,BranchOther,Callery pear,Pyrus calleryana,SI22,West New Brighton-New Brighton-St. George,5,5000700,Staten Island,Staten Island,501,23,61,49,0,1,0
937,2015-11-06,5,OnCurb,1,,,NoDamage,Volunteer,RootOther,London planetree,Platanus x acerifolia,BX30,Kingsbridge Heights,2,2026900,Bronx,Bronx,207,33,86,14,0,1,0
938,2015-12-09,27,OnCurb,0,,,NoDamage,Volunteer,StonesBranchLights,London planetree,Platanus x acerifolia,QN01,South Jamaica,4,4020200,Queens,Jamaica,412,10,32,28,1,0,0
939,2016-08-02,3,OnCurb,1,,,NoDamage,TreesCount Staff,,Ohio buckeye,Aesculus glabra,QN43,Bellerose,4,4157101,Queens,Bellerose,413,11,33,23,0,1,0
940,2016-07-14,5,OnCurb,1,1or2,Harmful,NoDamage,Volunteer,,littleleaf linden,Tilia cordata,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3,3065800,Brooklyn,Brooklyn,318,22,59,46,0,1,0
941,2015-10-05,16,OnCurb,1,,,Damage,Volunteer,Stones,English oak,Quercus robur,QN08,St. Albans,4,4042400,Queens,Jamaica,412,14,29,27,0,1,0
942,2015-10-21,2,OnCurb,1,,,Damage,Volunteer,,English oak,Quercus robur,SI25,Oakwood-Oakwood Beach,5,5013800,Staten Island,Staten Island,503,24,62,50,0,1,0
943,2015-08-09,7,OnCurb,1,,,Damage,TreesCount Staff,,green ash,Fraxinus pennsylvanica,BX62,Woodlawn-Wakefield,2,2042600,Bronx,Bronx,212,36,83,12,0,1,0
944,2015-11-01,22,OnCurb,0,,,NoDamage,TreesCount Staff,StonesBranchLights,pin oak,Quercus palustris,BK58,Flatlands,3,3072800,Brooklyn,Brooklyn,318,21,41,46,1,0,0
945,2016-06-28,6,OnCurb,1,,,NoDamage,NYC Parks Staff,,purple-leaf plum,Prunus cerasifera,MN01,Marble Hill-Inwood,1,1029500,Manhattan,New York,112,31,72,10,0,1,0
946,2016-02-06,6,OnCurb,1,,,NoDamage,Volunteer,,English oak,Quercus robur,SI25,Oakwood-Oakwood Beach,5,5013800,Staten Island,Staten Island,503,24,62,50,0,1,0
947,2015-08-21,14,OnCurb,0,3or4,Helpful,Damage,Volunteer,StonesRootOther,ginkgo,Ginkgo biloba,QN03,Springfield Gardens South-Brookville,4,4030600,Queens,Jamaica,413,10,31,31,1,0,0
948,2015-10-05,14,OnCurb,1,,,Damage,Volunteer,RootOther,London planetree,Platanus x acerifolia,QN60,Kew Gardens,4,4013400,Queens,Richmond Hill,409,15,28,29,0,1,0
949,2015-11-04,5,OffsetFromCurb,1,1or2,Unsure,NoDamage,Volunteer,,Japanese zelkova,Zelkova serrata,BK73,North Side-South Side,3,3051500,Brooklyn,Brooklyn,301,18,50,33,0,1,0
950,2016-09-18,14,OnCurb,1,,Helpful,NoDamage,Volunteer,,Japanese zelkova,Zelkova serrata,QN42,Oakland Gardens,4,4129103,Queens,Oakland Gardens,411,11,24,23,0,1,0
951,2015-09-20,25,OnCurb,1,,,NoDamage,Volunteer,,pin oak,Quercus palustris,MN11,Central Harlem South,1,1019000,Manhattan,New York,110,30,70,9,0,1,0
952,2015-12-16,4,OnCurb,0,,Unsure,NoDamage,TreesCount Staff,,cherry,Prunus,BK75,Bedford,3,3025100,Brooklyn,Brooklyn,303,25,56,36,1,0,0
953,2015-07-21,3,OnCurb,0,3or4,Helpful,NoDamage,TreesCount Staff,,sweetgum,Liquidambar styraciflua,QN45,Douglas Manor-Douglaston-Little Neck,4,4150701,Queens,Little Neck,411,11,26,19,1,0,0
954,2015-09-22,4,OnCurb,1,,Helpful,Damage,Volunteer,,littleleaf linden,Tilia cordata,QN46,Bayside-Bayside Hills,4,4109700,Queens,Bayside,411,11,26,19,0,1,0
955,2016-03-06,6,OnCurb,0,,Unsure,Damage,NYC Parks Staff,StonesBranchOther,English oak,Quercus robur,BK58,Flatlands,3,3067800,Brooklyn,Brooklyn,318,21,59,46,1,0,0
956,2016-07-01,4,OnCurb,1,1or2,,NoDamage,Volunteer,,green ash,Fraxinus pennsylvanica,BK44,Madison,3,3058000,Brooklyn,Brooklyn,315,19,45,48,0,1,0
957,2015-12-14,5,OnCurb,1,1or2,,NoDamage,Volunteer,,red maple,Acer rubrum,SI54,Great Kills,5,5014608,Staten Island,Staten Island,503,24,62,51,0,1,0
958,2015-09-01,6,OnCurb,1,,,NoDamage,Volunteer,StonesBranchLights,red maple,Acer rubrum,QN70,Astoria,4,4014900,Queens,Astoria,401,12,36,22,0,1,0
959,2015-08-06,31,OnCurb,1,,,NoDamage,Volunteer,StonesBranchLights,London planetree,Platanus x acerifolia,MN32,Yorkville,1,1014401,Manhattan,New York,108,28,76,5,0,1,0
960,2015-05-24,6,OnCurb,0,1or2,,NoDamage,Volunteer,,littleleaf linden,Tilia cordata,MN27,Chinatown,1,1000800,Manhattan,New York,103,26,65,1,1,0,0
961,2016-05-04,4,OnCurb,1,,,NoDamage,Volunteer,Stones,hawthorn,Crataegus,MN35,Washington Heights North,1,1027700,Manhattan,New York,112,31,72,10,0,1,0
962,2015-09-25,29,OnCurb,0,,,NoDamage,Volunteer,Stones,American linden,Tilia americana,BX63,West Concourse,2,2006300,Bronx,Bronx,201,29,84,17,1,0,0
963,2015-10-21,5,OnCurb,1,,,NoDamage,NYC Parks Staff,,cherry,Prunus,BK61,Crown Heights North,3,3031702,Brooklyn,Brooklyn,308,20,43,35,0,1,0
964,2016-06-20,6,OnCurb,1,1or2,,Damage,Volunteer,,ash,Fraxinus,QN48,Auburndale,4,4141700,Queens,Fresh Meadows,411,11,25,20,0,1,0
965,2015-09-11,8,OnCurb,1,,,Damage,TreesCount Staff,,pin oak,Quercus palustris,BX27,Hunts Point,2,2009300,Bronx,Bronx,202,32,85,17,0,1,0
966,2015-07-22,24,OnCurb,1,,,NoDamage,TreesCount Staff,BranchLights,pin oak,Quercus palustris,QN17,Forest Hills,4,4072900,Queens,Forest Hills,406,15,28,29,0,1,0
967,2015-07-27,5,OnCurb,1,,,NoDamage,Volunteer,,cherry,Prunus,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3,3006900,Brooklyn,Brooklyn,302,25,52,33,0,1,0
968,2016-06-29,1,OnCurb,0,,,NoDamage,Volunteer,,Callery pear,Pyrus calleryana,QN17,Forest Hills,4,4071303,Queens,Forest Hills,406,16,28,29,1,0,0
969,2016-06-03,14,OffsetFromCurb,1,,,NoDamage,Volunteer,,spruce,Picea,QN15,Far Rockaway-Bayswater,4,4100801,Queens,Far Rockaway,414,10,23,31,0,1,0
970,2015-10-01,6,OnCurb,1,,,NoDamage,Volunteer,RootOtherTrunkOtherBranchOther,green ash,Fraxinus pennsylvanica,SI48,Arden Heights,5,5017008,Staten Island,Staten Island,503,24,62,51,0,1,0
971,2016-07-04,4,OnCurb,1,,,Damage,TreesCount Staff,,dawn redwood,Metasequoia glyptostroboides,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5,5027900,Staten Island,Staten Island,502,24,62,50,0,1,0
972,2016-07-11,14,OnCurb,1,,,Damage,Volunteer,,American linden,Tilia americana,SI45,New Dorp-Midland Beach,5,5011202,Staten Island,Staten Island,502,24,64,50,0,1,0
973,2016-07-21,11,OnCurb,1,,,Damage,Volunteer,WiresRopeBranchOther,cherry,Prunus,MN40,Upper East Side-Carnegie Hill,1,1012800,Manhattan,New York,108,28,73,4,0,1,0
974,2015-12-09,19,OnCurb,2,,,Damage,Volunteer,,London planetree,Platanus x acerifolia,BK90,East Williamsburg,3,3049500,Brooklyn,Brooklyn,301,18,53,34,0,0,1
975,2015-09-09,7,OnCurb,1,1or2,,NoDamage,Volunteer,,ginkgo,Ginkgo biloba,MN25,Battery Park City-Lower Manhattan,1,1031704,Manhattan,New York,101,26,65,1,0,1,0
976,2015-09-07,26,OnCurb,1,,,Damage,Volunteer,RootOther,Callery pear,Pyrus calleryana,MN12,Upper West Side,1,1016100,Manhattan,New York,107,29,67,6,0,1,0
977,2016-03-01,18,OnCurb,1,3or4,Helpful,NoDamage,NYC Parks Staff,RootOtherWiresRopeBranchLightsBranchOther,purple-leaf plum,Prunus cerasifera,BK75,Bedford,3,3024500,Brooklyn,Brooklyn,303,25,57,36,0,1,0
978,2016-09-14,16,OffsetFromCurb,1,,,Damage,TreesCount Staff,,hedge maple,Acer campestre,BK82,East New York,3,3110400,Brooklyn,Brooklyn,305,19,60,42,0,1,0
979,2015-10-16,29,OnCurb,1,,,Damage,Volunteer,Stones,littleleaf linden,Tilia cordata,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3,3067000,Brooklyn,Brooklyn,318,19,59,46,0,1,0
980,2015-09-26,6,OnCurb,1,1or2,Unsure,NoDamage,Volunteer,,Sophora,Styphnolobium japonicum,QN20,Ridgewood,4,4058300,Queens,Ridgewood,405,15,37,30,0,1,0
981,2015-12-08,6,OnCurb,1,3or4,Helpful,Damage,Volunteer,StonesWiresRopeBranchLights,littleleaf linden,Tilia cordata,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,5,5023900,Staten Island,Staten Island,501,23,61,49,0,1,0
982,2015-10-25,18,OffsetFromCurb,1,,,Damage,Volunteer,BranchLights,green ash,Fraxinus pennsylvanica,BK33,Carroll Gardens-Columbia Street-Red Hook,3,3005300,Brooklyn,Brooklyn,306,25,51,38,0,1,0
983,2016-08-13,23,OffsetFromCurb,1,,,Damage,TreesCount Staff,,London planetree,Platanus x acerifolia,SI35,New Brighton-Silver Lake,5,5010500,Staten Island,Staten Island,501,23,61,49,0,1,0
984,2016-07-11,5,OnCurb,1,1or2,,Damage,Volunteer,,Callery pear,Pyrus calleryana,QN46,Bayside-Bayside Hills,4,4143500,Queens,Oakland Gardens,411,11,25,23,0,1,0
985,2015-10-30,2,OnCurb,1,,,Damage,TreesCount Staff,,Norway maple,Acer platanoides,QN44,Glen Oaks-Floral Park-New Hyde Park,4,4155102,Queens,Glen Oaks,413,11,24,23,0,1,0
986,2015-08-03,5,OnCurb,0,1or2,Helpful,Damage,Volunteer,,pin oak,Quercus palustris,SI32,Rossville-Woodrow,5,5020803,Staten Island,Staten Island,503,24,62,51,1,0,0
987,2015-07-14,4,OnCurb,1,,,Damage,Volunteer,,Norway maple,Acer platanoides,QN55,South Ozone Park,4,4083800,Queens,South Ozone Park,410,10,31,32,0,1,0
988,2015-08-17,6,OnCurb,1,,,NoDamage,Volunteer,StonesBranchLights,London planetree,Platanus x acerifolia,BX28,Van Cortlandt Village,2,2040900,Bronx,Bronx,208,34,81,11,0,1,0
989,2015-10-20,10,OnCurb,0,,,NoDamage,Volunteer,StonesWiresRopeBranchLights,green ash,Fraxinus pennsylvanica,QN01,South Jamaica,4,4019600,Queens,Jamaica,412,10,32,28,1,0,0
990,2015-10-01,29,OnCurb,1,,,Damage,TreesCount Staff,Stones,London planetree,Platanus x acerifolia,QN70,Astoria,4,4014900,Queens,Astoria,401,12,36,22,0,1,0
991,2015-11-27,14,OnCurb,2,,,NoDamage,TreesCount Staff,,Japanese zelkova,Zelkova serrata,BX01,Claremont-Bathgate,2,2039500,Bronx,Bronx,206,33,86,15,0,0,1
992,2015-09-25,8,OnCurb,0,1or2,Helpful,Damage,Volunteer,Stones,Callery pear,Pyrus calleryana,QN35,Briarwood-Jamaica Hills,4,4022002,Queens,Jamaica,408,14,24,24,1,0,0
993,2015-07-08,21,OnCurb,1,,,NoDamage,Volunteer,Stones,London planetree,Platanus x acerifolia,BX44,Williamsbridge-Olinville,2,2037000,Bronx,Bronx,212,36,83,12,0,1,0
994,2015-10-20,24,OnCurb,1,,,NoDamage,Volunteer,,swamp white oak,Quercus bicolor,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,5,5023100,Staten Island,Staten Island,501,23,61,49,0,1,0
995,2015-08-05,20,OnCurb,0,,,Damage,TreesCount Staff,,pin oak,Quercus palustris,MN34,East Harlem North,1,1018400,Manhattan,New York,111,30,68,9,1,0,0
996,2015-06-30,15,OnCurb,1,,,Damage,Volunteer,StonesWiresRopeBranchLights,honeylocust,Gleditsia triacanthos var. inermis,SI11,Charleston-Richmond Valley-Tottenville,5,5022600,Staten Island,Staten Island,503,24,62,51,0,1,0
997,2016-06-30,4,OnCurb,1,,,Damage,Volunteer,StonesWiresRopeBranchLights,Norway maple,Acer platanoides,QN35,Briarwood-Jamaica Hills,4,4045200,Queens,Jamaica,408,11,24,24,0,1,0
998,2016-06-01,17,OnCurb,1,1or2,Helpful,Damage,TreesCount Staff,,ginkgo,Ginkgo biloba,QN01,South Jamaica,4,4026400,Queens,Jamaica,412,14,32,27,0,1,0
999,2015-10-01,6,OnCurb,1,,,NoDamage,TreesCount Staff,,American hornbeam,Carpinus caroliniana,BK82,East New York,3,3119200,Brooklyn,Brooklyn,305,18,54,37,0,1,0
1000,2015-10-23,6,OnCurb,1,,,NoDamage,NYC Parks Staff,,cherry,Prunus,SI54,Great Kills,5,5014608,Staten Island,Staten Island,503,24,62,51,0,1,0
